,comp_id,begin,end,COGS,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,finished_prod,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,net_dom_sales,net_exp_sales,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,wages,D,balsheet_flag,balsheet_length,balsheet_notfullyear,year,founded_year,exit_year,ceo_count,foreign,female,birth_year,inoffice_days,gender,origin,nace_main,ind2,ind,urban_m,region_m,founded_date,exit_date,labor_avg
0,1001034.0,2005-01-01,2005-12-31,,692.5925903320312,7266.66650390625,7574.07421875,0.0,0.0,0.0,,1229.629638671875,218.51852416992188,0.0,4355.5556640625,2911.111083984375,38222.22265625,,,22222.22265625,62.96296310424805,62751.8515625,881.4815063476561,1388.888916015625,1229.629638671875,,,0,364,0,2005,1990.0,,2.0,0.0,0.5,1968.0,5686.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,
1,1001034.0,2006-01-01,2006-12-31,,603.7036743164064,13122.22265625,12211.111328125,0.0,0.0,0.0,,725.9259033203125,996.2963256835936,0.0,7225.92578125,5896.29638671875,38140.7421875,,,23844.4453125,755.5555419921875,64625.92578125,1637.0369873046875,1388.888916015625,725.9259033203125,,,0,364,0,2006,1990.0,,2.0,0.0,0.5,1968.0,5686.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,
2,1001034.0,2007-01-01,2007-12-31,,425.9259338378906,8196.2958984375,7800.0,0.0,0.0,0.0,,1322.22216796875,570.370361328125,0.0,7951.85205078125,177.77777099609375,40174.07421875,,,22262.962890625,0.0,65100.0,1633.3333740234375,1388.888916015625,1322.22216796875,,,0,364,0,2007,1990.0,,2.0,0.0,0.5,1968.0,5686.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,
3,1001034.0,2008-01-01,2008-12-31,,300.0,8485.185546875,7781.4814453125,0.0,0.0,0.0,,1022.2222290039062,714.8148193359375,0.0,5233.33349609375,1392.5926513671875,54274.07421875,,,21107.408203125,0.0,78085.1875,1725.9259033203125,1481.4814453125,1022.2222290039062,,,0,365,0,2008,1990.0,,2.0,0.0,0.5,1968.0,5686.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,
4,1001034.0,2009-01-01,2009-12-31,,207.40740966796875,5137.037109375,15300.0,0.0,0.0,0.0,,814.8148193359375,-11044.4443359375,0.0,3259.25927734375,11.11111068725586,41755.5546875,,,13237.037109375,-11074.07421875,45388.890625,-9348.1484375,1481.4814453125,814.8148193359375,,,0,364,0,2009,1990.0,,2.0,0.0,0.5,1968.0,5686.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,0.0833333358168602
5,1001034.0,2010-01-01,2010-12-31,,177.77777099609375,2096.29638671875,19629.62890625,0.0,0.0,0.0,,637.0370483398438,-7548.14794921875,0.0,0.0,192.59259033203125,10996.2958984375,,,5081.4814453125,-7548.14794921875,9929.6298828125,-16896.296875,1481.4814453125,637.0370483398438,,,0,364,0,2010,1990.0,,2.0,0.0,0.5,1968.0,5686.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,0.0833333358168602
6,1001034.0,2011-01-01,2011-12-31,,155.55555725097656,3607.407470703125,22555.5546875,0.0,0.0,0.0,,481.4814758300781,-1570.370361328125,0.0,0.0,1633.3333740234375,200.0,,,225.9259185791016,-1570.370361328125,0.0,-18466.666015625,1481.4814453125,481.4814758300781,,,0,364,0,2011,1990.0,,2.0,0.0,0.5,1954.0,4895.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,0.0833333358168602
7,1001034.0,2012-01-01,2012-12-31,,140.74073791503906,148.1481475830078,21429.62890625,0.0,0.0,0.0,,340.7407531738281,-2474.073974609375,0.0,0.0,25.925926208496094,1862.9630126953125,,,285.1851806640625,-2474.073974609375,0.0,-20940.740234375,1481.4814453125,340.7407531738281,,,0,365,0,2012,1990.0,,2.0,0.0,0.5,1954.0,4895.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,0.0833333358168602
8,1001034.0,2013-01-01,2013-12-31,,140.74073791503906,140.74073791503906,21851.8515625,0.0,0.0,0.0,,200.0,-614.8148193359375,0.0,0.0,37.03703689575195,177.77777099609375,,,296.2962951660156,-633.3333129882812,0.0,-21574.07421875,1481.4814453125,200.0,,,0,364,0,2013,1990.0,,2.0,0.0,0.5,1954.0,4895.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,
9,1001034.0,2014-01-01,2014-12-31,,29.62962913513184,144.44444274902344,22340.740234375,0.0,0.0,0.0,,170.37037658691406,-448.1481628417969,0.0,0.0,40.74074172973633,114.81481170654295,,,303.7037048339844,-448.1481628417969,0.0,-22025.92578125,1481.4814453125,170.37037658691406,,,0,364,0,2014,1990.0,,2.0,0.0,0.5,1954.0,4895.5,mix,Domestic,5630.0,56.0,3.0,1,Central,1990-11-19,,
